word1,word2,count
à,regarder,5
nous,a,5
escalier,de,5
tout,autour,5
aventure,de,5
s,approcher,5
ses,genoux,5
yeux,bleus,5
fin,du,5
par,de,5
quelque,part,5
cris,de,5
mes,souliers,5
puis,elle,5
au,moins,5
tout,juste,5
quelques,secondes,5
de,penser,5
les,guides,5
l,aise,5
en,allaient,5
pas,je,5
mon,bras,5
des,voix,5
en,avait,5
entrée,du,5
fait,le,5
et,leurs,5
boujardon,et,5
le,repas,5
la,venue,5
maintenant,tout,5
avait,la,5
a,fait,5
bout,d,5
la,bouche,5
lui,ai,5
maison,d,5
en,revenant,5
à,vous,5
le,bâtiment,5
d,yvonne,5
sais,pas,5
de,demander,5
l,occasion,5
je,dus,5
gens,du,5
il,regarda,5
soir,après,5
plus,maintenant,5
se,mettre,5
pieds,et,5
la,portière,5
la,clef,5
les,volets,5
avec,eux,5
gens,qui,5
tante,moinel,5
fille,et,5
les,voir,5
il,fallut,5
cahier,de,5
dit:,je,5
son,front,5
une,lourde,5
le,siège,5
comme,son,5
si,elle,5
d,ordinaire,5
autre,le,5
aux,autres,5
on,l,5
tant,cherchée,5
a,été,5
il,fait,5
pour,toujours,5
me,semble,5
a,plus,5
nuit,nous,5
fit,un,5
entre,nous,5
tout,se,5
ou,la,5
sur,leurs,5
a,l,5
désir,de,5
il,dut,5
bois,et,5
que,lui,5
bruit,d,5
celle,de,5
contre,le,5
meaulnes,les,5
devant,lui,5
femme,qui,5
lorsque,meaulnes,5
quand,j,5
loin,en,5
m,ont,5
sais,quel,5
la,ferté-d,5
histoire,de,5
ne,rien,5
parmi,les,5
qu,est-ce,5
ont,fait,5
du,vieux-nançay,5
les,quatre,5
la,roue,5
du,dehors,5
à,marcher,5
domaine,des,5
bourg,il,5
et,surtout,5
sa,soeur,5
eût,pu,5
pied,de,5
à,dire,5
parce,que,5
dit,à,5
regret,et,5
un,village,5
instant,d,5
l,avons,5
pas,en,5
mais,l,5
encore,je,5
avais,pas,5
faisait,la,5
plus,belle,5
sous,cette,5
la,dictée,5
un,seul,5
à,bourges,5
qui,vous,5
partir,il,5
de,regarder,5
rayon,de,5
le,front,5
tous,ses,5
car,je,5
pas,l,5
après-midi,de,5
incapable,de,5
comme,le,5
ne,sont,5
voiture,qui,5
meaulnes,mais,5
la,troupe,5
au,vieux-nançay,5
les,bords,5
une,ombre,5
avait,un,5
classe,où,5
est,une,5
ils,s,5
pas,être,5
avait,laissée,5
lueur,de,5
j,y,5
laquelle,il,5
il,ajouta,5
me,faisait,5
de,jasmin,5
des,aubiers,5
seul,à,5
fenêtre,de,5
chemin,et,5
ferté-d,angillon,5
le,paysage,5
à,pied,5
les,sablonnières,5
où,s,5
en,s,5
tu,es,5
je,puis,5
mais,on,5
vieux,cheval,5
chez,lui,5
son,genou,5
loin,de,5
se,pencha,5
jeune,personnage,5
par,où,5
quand,nous,5
faire,le,5
en,le,5
passer,les,5
est,trop,5
avait,sur,5
signe,d,5
en,regardant,5
grand,pierrot,5
vent,de,5
d,aventures,5
toutes,ces,5
nous,restions,5
chez,moi,5
avait,voulu,5
j,entendais,5
un,moment,5
a,jamais,5
à,raconter,4
élèves,du,4
se,précipita,4
clair,et,4
de,curiosité,4
porte,vitrée,4
de,février,4
grand,rue,4
elle,la,4
avant,même,4
et,bientôt,4
mais,non,4
je,voyais,4
je,veux,4
jours,de,4
s,ouvrir,4
longtemps,le,4
place,à,4
lui,l,4
même,de,4
nous,semblait,4
le,maître,4
mais,si,4
bruits,de,4
ne,savais,4
heures,nous,4
une,chambre,4
au,mur,4
à,mi-voix:,4
de,lumière,4
un,groupe,4
le,déjeuner,4
droite,et,4
une,branche,4
que,sa,4
les,lèvres,4
journée,de,4
et,voilà,4
route,dans,4
la,conversation,4
sous,sa,4
de,bonne,4
la,boulangère,4
presque,de,4
monté,sur,4
leva,la,4
presque,aussitôt,4
lorsqu,une,4
avait,eu,4
moi,de,4
s,enfuir,4
avait,encore,4
une,partie,4
d,attendre,4
pour,être,4
meaulnes,un,4
dire,comme,4
long,du,4
un,mouvement,4
elle,m,4
me,rappelai,4
façon,d,4
l,appui,4
un,oiseau,4
que,faire,4
galais,on,4
paquet,de,4
personne,n,4
aussitôt,la,4
nuit,à,4
mais,où,4
meaulnes,je,4
ai,dit,4
s,engagea,4
bâtiment,principal,4
été,pour,4
sortie,du,4
rue,de,4
un,banc,4
je,fais,4
moi,pour,4
encore,et,4
porte,des,4
l,approche,4
j,eusse,4
jadis,et,4
père,martin,4
le,milieu,4
tête,à,4
grand,galop,4
la,taille,4
avait,l,4
j,aie,4
seul,dans,4
temps,que,4
coup,d,4
